Date,GPUClock[MHz],MemoryClock[MHz],GPUTemperature[C],GPUTemperature(HotSpot)[C],FanSpeed(%)[%],FanSpeed(RPM)[RPM],GPULoad[%],MemoryControllerLoad[%],MemoryUsed(Dedicated)[MB],MemoryUsed(Dynamic)[MB],GPUChipPowerDraw[W],GPUVoltage[V],CPUTemperature[C],SystemMemoryUsed[MB]
2022-07-15T21:34:43Z,2532.0,1984.0,74.0,95.0,46,1527,94,20,5516,702,129.0,1.150,49.0,11801
2022-07-15T21:34:44Z,2469.0,1986.0,74.0,95.0,47,1552,99,20,5516,702,130.0,1.131,51.0,11804
2022-07-15T21:34:45Z,2515.0,1986.0,74.0,95.0,47,1561,98,19,5516,703,129.0,1.150,57.0,11835
2022-07-15T21:34:46Z,2494.0,1986.0,74.0,96.0,47,1577,99,21,5475,656,130.0,1.137,63.0,11789
2022-07-15T21:34:47Z,2477.0,1986.0,75.0,97.0,48,1615,99,18,5516,702,130.0,1.125,60.0,11813
2022-07-15T21:34:48Z,2483.0,1986.0,74.0,95.0,49,1630,98,20,5524,704,129.0,1.150,53.0,11912
2022-07-15T21:34:49Z,2462.0,1986.0,75.0,96.0,50,1655,99,20,5508,704,130.0,1.125,51.0,11905
2022-07-15T21:34:50Z,2518.0,1986.0,75.0,97.0,50,1670,98,18,5494,704,129.0,1.150,51.0,11921
2022-07-15T21:34:51Z,2498.0,1986.0,76.0,98.0,51,1695,98,18,5495,703,129.0,1.150,50.0,11800
2022-07-15T21:34:52Z,2470.0,1986.0,76.0,99.0,52,1723,99,19,5495,703,130.0,1.125,47.0,11822
2022-07-15T21:34:53Z,2477.0,1986.0,76.0,98.0,52,1731,98,21,5495,680,130.0,1.143,50.0,11819
2022-07-15T21:34:54Z,2493.0,1986.0,76.0,97.0,53,1750,96,19,5497,680,128.0,1.150,51.0,11816
2022-07-15T21:34:55Z,105.0,1986.0,71.0,74.0,53,1761,1,0,5497,712,39.0,0.668,50.0,11808
2022-07-15T21:34:56Z,140.0,1986.0,69.0,71.0,53,1761,4,0,5497,712,20.0,1.150,52.0,11895
2022-07-15T21:34:57Z,88.0,1988.0,68.0,69.0,53,1759,2,0,5498,744,20.0,0.668,48.0,11972
2022-07-15T21:34:58Z,85.0,1988.0,67.0,68.0,53,1749,2,0,5498,744,20.0,0.668,51.0,11969
2022-07-15T21:34:59Z,172.0,1986.0,66.0,67.0,52,1735,5,0,5497,712,21.0,0.668,53.0,11979
2022-07-15T21:35:00Z,100.0,1986.0,65.0,66.0,52,1729,3,0,5481,778,20.0,0.668,51.0,12009
2022-07-15T21:35:01Z,2464.0,1986.0,66.0,77.0,51,1714,92,14,5475,794,49.0,1.150,54.0,12147
2022-07-15T21:35:02Z,2428.0,1986.0,71.0,90.0,51,1704,93,12,5477,741,109.0,1.150,54.0,12147
2022-07-15T21:35:03Z,2081.0,1992.0,71.0,87.0,51,1684,66,12,5478,741,101.0,0.668,54.0,12133
2022-07-15T21:35:04Z,2145.0,1984.0,71.0,86.0,50,1674,73,11,5478,741,85.0,1.087,56.0,12166
2022-07-15T21:35:05Z,1977.0,1986.0,72.0,89.0,50,1656,65,12,5478,741,100.0,1.150,54.0,12187
2022-07-15T21:35:06Z,2149.0,1986.0,72.0,86.0,49,1644,80,9,5497,750,98.0,1.137,54.0,12204
2022-07-15T21:35:07Z,2308.0,1986.0,72.0,89.0,49,1629,88,10,5497,752,107.0,1.137,54.0,12189
2022-07-15T21:35:08Z,2268.0,1986.0,73.0,90.0,48,1616,86,9,5497,720,111.0,1.087,53.0,12112
2022-07-15T21:35:09Z,2317.0,1986.0,74.0,92.0,48,1605,84,13,5463,720,117.0,1.150,52.0,12113
2022-07-15T21:35:10Z,2502.0,1986.0,74.0,96.0,48,1590,95,11,5463,720,128.0,1.150,52.0,12113
2022-07-15T21:35:11Z,2502.0,1986.0,74.0,96.0,47,1583,95,11,5453,714,127.0,1.150,54.0,12101
2022-07-15T21:35:12Z,2361.0,1986.0,72.0,88.0,47,1563,88,13,5460,714,78.0,1.150,62.0,11976
